KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
txt_CqOeC,,,,,,,,,Размещайте оборону и готовьтесь к атаке.,,,,,,,,
txt_iOa0q,,,,,,,,,Защита базы (Волна II),,,,,,,,
txt_GaCCC,,,,,,,,,"ОК, народ, будьте готовы ко второй волне!",,,,,,,,
txt_uKIxu,,,,,,,,,Ни шагу назад,,,,,,,,
txt_K0euC,,,,,,,,,"Уничтожьте всех юнитов второй волны, не потеряв своей базы.",,,,,,,,
txt_48miN,,,,,,,,,Мне не нравится внешний вид этого...,,,,,,,,
txt_mOi6i,,,,,,,,,Держи свою базу,,,,,,,,
txt_u88Om,,,,,,,,,Не позволяйте Зиракс уничтожить наше ядро и заменить его своим.,,,,,,,,
txt_drOGe,,,,,,,,,"Хорошая работа, господа!",,,,,,,,
txt_WqiOq,,,,,,,,,Атака базы Талонами,,,,,,,,
txt_CGuCG,,,,,,,,,Вы должны пережить несколько волн воинов Талон. Удачи!,,,,,,,,
txt_a84Gq,,,,,,,,,Поздравляю - вы успешно защитили базу от всех волн!,,,,,,,,
txt_SqC08,,,,,,,,,Подготовка (Волна I),,,,,,,,
txt_WGi4a,,,,,,,,,Защита базы (Волна I),,,,,,,,
txt_Oeo88,,,,,,,,,Подготовка (Волна II),,,,,,,,
txt_8maKO,,,,,,,,,Защита базы (Волна II),,,,,,,,
txt_SGGq0,,,,,,,,,Оборудовать и подготовить базу,,,,,,,,
txt_o8aW0,,,,,,,,,Разместите оборону и готовьтесь к атаке.,,,,,,,,
txt_AmS0x,,,,,,,,,"У нас есть сообщения о том, что Талон готовят наступление на вашу базу. Снарядите себя и подготовь свою базу.",,,,,,,,
txt_maeiq,,,,,,,,,"Хорошая работа, ребята! Это нужно было сделать.",,,,,,,,
txt_8aeOi,,,,,,,,,НЕ ОТОБРАЖАЕМОЕ СООБЩЕНИЕ!,,,,,,,,
txt_O0K4S,,,,,,,,,Ждите приближающейся атаки,,,,,,,,
txt_0imSa,,,,,,,,,Защитите свою базу,,,,,,,,
txt_F8WOM,,,,,,,,,Приготовьтесь ко второй волне,,,,,,,,
txt_0uaWW,,,,,,,,,Ни шагу назад,,,,,,,,
txt_SOGOe,,,,,,,,,Держи свою базу,,,,,,,,
txt_iaWii,,,,,,,,,Вражеские воины Талон будут приближаться к вашей базе с неопределенной позиции.,,,,,,,,
txt_uea8u,,,,,,,,,"Талон занял наступательную позицию по периметру базы и готовит атаку. Шаманы Талон использовали свою особую силу, чтобы отключить вашу базу. Вы должны выйти и убить их, чтобы иметь возможность снова включить питание, но остерегаться опасных животных.",,,,,,,,
txt_GgWKS,,,,,,,,,Талон занял наступательную позицию по периметру базы и готовит атаку!,,,,,,,,
txt_0404L,,,,,,,,,Вы успешно защитили свою базу от Волны I. Контейнер с припасами был сброшен - осмотрите базу.,,,,,,,,
txt_00Oeu,,,,,,,,,Они перегруппировались и приходят на вторую попытку. Подготовьте оборону!,,,,,,,,
txt_memii,,,,,,,,,Размещайте оборону и готовьтесь к атаке.,,,,,,,,
txt_Cq8ic,,,,,,,,,"У меня плохое предчувствие, что все станет хуже, прежде чем станет лучше...",,,,,,,,
txt_oCiaq,,,,,,,,,"ОК, народ, будьте готовы ко второй волне!",,,,,,,,
txt_uOWOq,,,,,,,,,"Уничтожьте все юниты второй волны, не теряя своей базы.",,,,,,,,
txt_q4uiO,,,,,,,,,Мне не нравится внешний вид этого...,,,,,,,,
txt_m0OWi,,,,,,,,,Талон занял наступательную позицию по периметру базы и готовит атаку!,,,,,,,,
txt_Sm0q0,,,,,,,,,"Хорошая работа, господа!",,,,,,,,
